 advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
1 1 0 0 1 0 1 0 0 0,498,1 1 0 0 1 0 1 1 0 1,25 68 21 22 67 69 77 58 15 76,58.7955,31.6720,0,4.9749 4.6716 1.3519 5.3117 2.5919 5.9437 1.7679 2.2798 3.6882 1.1999
0 0 1 1 0 1 1 0 1 1,569,1 1 0 1 1 1 1 1 1 1,88 68 42 55 74 28 92 13 70 39,74.4618,29.8570,1,9.7573 4.1679 12.2731 4.3139 2.0466 1.8800 1.4343 2.0821 1.3854 3.2195
0 0 1 0 0 1 0 0 1 1,438,0 1 0 1 1 1 1 0 0 1,50 18 4 78 34 16 92 34 21 91,16.3998,158.1336,1,15.5243 6.9916 17.4396 12.1037 15.9039 11.4640 6.0240 5.2719 5.4078 3.1356
1 1 0 0 0 0 0 1 0 1,589,1 1 0 1 1 1 0 1 1 1,85 79 25 82 40 43 34 66 48 87,79.1993,33.3243,0,15.8029 5.4804 9.3660 3.0078 3.0876 3.3913 2.0165 3.0149 2.3583 2.7928
1 0 1 0 0 1 0 0 0 0,572,1 0 1 0 1 0 1 1 1 0,100 48 38 40 71 64 83 78 41 9,49.7312,38.3803,0,11.2433 10.2067 9.3738 6.8906 3.9256 5.3692 3.0372 3.3533 2.3475 4.4743
1 0 1 1 0 1 0 0 0 1,522,1 0 1 1 0 1 0 0 0 1,64 72 40 52 49 50 66 50 54 25,124.0307,156.5543,0,6.5262 3.7434 1.0884 1.6477 0.8720 0.9600 0.7836 1.7994 0.6809 0.7840
1 1 1 1 1 0 1 0 0 0,404,1 0 0 1 0 1 0 1 0 1,59 31 5 58 18 72 33 74 29 25,7.9701,27.8871,2,9.7564 8.0719 3.0714 2.9118 3.1199 3.1436 1.4317 2.3279 1.5995 7.3038
0 0 1 1 0 1 0 1 0 0,590,1 0 0 1 1 0 1 0 0 1,63 30 78 32 97 44 80 37 47 82,87.7021,86.9694,0,18.5262 13.7833 3.4643 1.0003 1.7605 1.7196 0.7203 5.2964 0.8957 1.2398
1 1 1 0 0 1 0 0 0 0,397,1 1 1 0 0 1 0 0 0 0,51 66 29 87 4 34 5 42 37 42,61.1637,58.0015,1,9.6576 8.3752 1.2328 1.8595 1.3229 1.0201 1.0404 1.1016 1.1212 1.8489
0 0 1 1 1 0 1 0 1 1,453,0 1 1 1 1 0 1 1 1 1,15 3 96 82 53 2 88 56 3 55,17.4737,17.4693,0,3.1921 0.8568 1.9249 0.9589 0.4569 1.2959 0.3129 0.3140 0.4110 0.3830
0 0 0 0 0 0 1 1 1 0,435,0 0 1 1 0 1 0 1 1 1,7 19 51 90 2 49 1 53 90 73,19.7639,264.6316,2,10.9115 14.0718 4.3760 3.5199 1.4399 1.0159 2.4479 1.3999 1.9358 2.7358
1 1 0 0 0 1 1 0 0 0,423,0 1 0 0 1 1 1 0 1 0,45 60 75 30 4 58 63 28 29 31,19.1120,38.7042,0,3.9354 3.5438 1.3842 3.5440 1.3842 0.8241 1.7523 0.9043 0.9121 0.8000
1 0 1 0 0 0 1 0 1 0,475,1 0 1 1 0 0 0 0 0 0,53 46 22 8 77 75 73 23 54 44,121.7149,39.9238,0,7.2468 3.8817 3.3362 3.0269 0.9797 1.2960 1.0533 1.0604 0.6334 0.9282
