workerId, assignmentId, hitId, advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
A3VKDV41FXRV0S,3PH3VY7DJM5N0VXBKIDEHOHGLR7ZW3,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 1 0 0 1 0 1 0 0 0,498,1 1 0 0 1 0 1 1 0 1,25 68 21 22 67 69 77 58 15 76,58.7955,31.6720,0,4.9749 4.6716 1.3519 5.3117 2.5919 5.9437 1.7679 2.2798 3.6882 1.1999
A10Z4QVBJIA914,3Q8GYXHFEQAGFJ7HW36XGQ3ISCI5CU,3421H3BM9APJ10H5JJVYQQQUJDC9JC,0 0 1 1 0 1 1 0 1 1,569,1 1 0 1 1 1 1 1 1 1,88 68 42 55 74 28 92 13 70 39,74.4618,29.8570,1,9.7573 4.1679 12.2731 4.3139 2.0466 1.8800 1.4343 2.0821 1.3854 3.2195
A2G5GGLXD2KSZS,31QNSG6A5S1TQKVN3K5PCOLVTRS876,3421H3BM9APJ10H5JJVYQQQUJDC9JC,0 0 1 0 0 1 0 0 1 1,438,0 1 0 1 1 1 1 0 0 1,50 18 4 78 34 16 92 34 21 91,16.3998,158.1336,1,15.5243 6.9916 17.4396 12.1037 15.9039 11.4640 6.0240 5.2719 5.4078 3.1356
AX5RAD2CUCUO,32EYX73OY1H160MFF140DXUKRUDUR6,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 1 0 0 0 0 0 1 0 1,589,1 1 0 1 1 1 0 1 1 1,85 79 25 82 40 43 34 66 48 87,79.1993,33.3243,0,15.8029 5.4804 9.3660 3.0078 3.0876 3.3913 2.0165 3.0149 2.3583 2.7928
A3PPZ0USXDFBJ7,3YT88D1N096VK2W1AXZ2PCI6JP03KF,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 0 1 0 0 1 0 0 0 0,572,1 0 1 0 1 0 1 1 1 0,100 48 38 40 71 64 83 78 41 9,49.7312,38.3803,0,11.2433 10.2067 9.3738 6.8906 3.9256 5.3692 3.0372 3.3533 2.3475 4.4743
A243X2Y9HP7630,3ATTHHXXWBWGU5DRUJLEJCSXYGBXIX,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 0 1 1 0 1 0 0 0 1,522,1 0 1 1 0 1 0 0 0 1,64 72 40 52 49 50 66 50 54 25,124.0307,156.5543,0,6.5262 3.7434 1.0884 1.6477 0.8720 0.9600 0.7836 1.7994 0.6809 0.7840
A2ZHUJEIMZNPTO,3F6HPJW4JE8XUKUZVB40UD790I8W2S,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 1 1 1 1 0 1 0 0 0,404,1 0 0 1 0 1 0 1 0 1,59 31 5 58 18 72 33 74 29 25,7.9701,27.8871,2,9.7564 8.0719 3.0714 2.9118 3.1199 3.1436 1.4317 2.3279 1.5995 7.3038
A3HII8DX9SINOU,3R2PKQ87NXG50TENGCJ58VCZRCSIMZ,3421H3BM9APJ10H5JJVYQQQUJDC9JC,0 0 1 1 0 1 0 1 0 0,590,1 0 0 1 1 0 1 0 0 1,63 30 78 32 97 44 80 37 47 82,87.7021,86.9694,0,18.5262 13.7833 3.4643 1.0003 1.7605 1.7196 0.7203 5.2964 0.8957 1.2398
A21E14UDZSA0AW,379J5II41PO9E6UGKHSZN3ZIZEVELK,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 1 1 0 0 1 0 0 0 0,397,1 1 1 0 0 1 0 0 0 0,51 66 29 87 4 34 5 42 37 42,61.1637,58.0015,1,9.6576 8.3752 1.2328 1.8595 1.3229 1.0201 1.0404 1.1016 1.1212 1.8489
AOWW3URQNRJ6U,33ISQZVXPQU1E4GWBDT5UW9SKT4CC9,3421H3BM9APJ10H5JJVYQQQUJDC9JC,0 0 1 1 1 0 1 0 1 1,453,0 1 1 1 1 0 1 1 1 1,15 3 96 82 53 2 88 56 3 55,17.4737,17.4693,0,3.1921 0.8568 1.9249 0.9589 0.4569 1.2959 0.3129 0.3140 0.4110 0.3830
A2WTDVHVVORNDU,386CSBG1O0UGSOHE64HXS16ZSMU6QG,3421H3BM9APJ10H5JJVYQQQUJDC9JC,0 0 0 0 0 0 1 1 1 0,435,0 0 1 1 0 1 0 1 1 1,7 19 51 90 2 49 1 53 90 73,19.7639,264.6316,2,10.9115 14.0718 4.3760 3.5199 1.4399 1.0159 2.4479 1.3999 1.9358 2.7358
A1NWXL4QO30M8U,30BXRYBRP5519AXHEW77HHDBP1RWHB,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 1 0 0 0 1 1 0 0 0,423,0 1 0 0 1 1 1 0 1 0,45 60 75 30 4 58 63 28 29 31,19.1120,38.7042,0,3.9354 3.5438 1.3842 3.5440 1.3842 0.8241 1.7523 0.9043 0.9121 0.8000
AG2RE206QIMOI,3SNVL38CI50JX2SK3QA3IFM0P2DCKM,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 0 1 0 0 0 1 0 1 0,475,1 0 1 1 0 0 0 0 0 0,53 46 22 8 77 75 73 23 54 44,121.7149,39.9238,0,7.2468 3.8817 3.3362 3.0269 0.9797 1.2960 1.0533 1.0604 0.6334 0.9282
A2P3UQZWK9Y3B3,32VNZTT0A8C2P2S00VDI0TWQSHQR4H,3421H3BM9APJ10H5JJVYQQQUJDC9JC,0 1 0 1 0 0 1 0 1 0,609,0 0 1 0 1 1 1 1 1 1,16 34 81 68 75 83 73 30 99 50,54.6024,83.3031,1,11.1969 16.2238 7.1679 11.4637 2.7913 5.0479 2.8240 4.4079 5.7518 7.4479
A34TMWLXTWLMUL,3VELCLL3GLROUDQ8MIUML6B4D951FJ,3421H3BM9APJ10H5JJVYQQQUJDC9JC,0 1 0 0 0 0 1 1 0 1,357,0 1 0 0 0 0 1 1 0 1,7 54 58 9 31 1 71 50 19 57,1139.9433,38.7105,0,3.7381 1.4607 0.8029 1.6616 0.6373 0.8604 0.8206 0.7830 0.7155 0.7640
A2DCGTGSVHL9KM,32UTUBMZ7H4E38UQOUSF94RZNFKVBK,3421H3BM9APJ10H5JJVYQQQUJDC9JC,0 1 0 1 0 0 1 1 1 1,668,0 1 1 1 0 1 1 0 1 0,94 77 52 100 51 85 37 16 97 59,4.6540,64.7620,2,9.1240 1.0480 1.7050 1.5100 0.7310 1.6300 1.5430 1.2020 0.8220 2.1590
A2IPO6UJZDIQ91,39ASUFLU6YF4E0B5Y0VNYXU56N5XEP,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 1 1 0 1 0 0 0 1 0,632,0 0 1 0 1 0 0 1 1 1,82 30 88 52 59 32 33 75 82 99,379.5183,57.5306,2,6.6559 2.9757 1.3039 5.0958 1.0802 3.8790 1.5898 1.3437 1.3686 1.4957
A3NUBGOGWM4JJ9,3TE22NPXPCKVOWQ2PJH5S0LG03744C,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 0 1 0 0 0 0 1 1 0,507,1 1 1 0 1 0 1 1 1 1,56 64 76 48 23 21 94 29 95 1,3.7745,38.3309,2,3.2663 1.0400 1.0557 4.6721 1.8319 0.6881 0.4159 0.6003 0.5120 0.6156
A3JEM05G181BNU,30LB5CDZNDIUS5WQRBKTAT8CKMU0Z4,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 0 0 0 0 1 0 0 0 1,624,0 1 1 0 1 1 1 0 1 1,49 91 80 61 14 84 71 24 50 100,265.4129,22.0340,0,8.1202 4.4621 2.2726 2.3248 1.1578 1.3541 2.2970 1.2507 1.0248 1.6656
A22G7P0E0VR5A,3DEL4X4EL7T2K5SWY17H50MLOZAYX5,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 0 0 1 1 0 1 0 1 1,557,1 0 0 0 1 0 1 0 1 1,1 99 25 96 73 90 68 10 82 13,89.7060,25.9220,0,5.2400 7.3500 3.3530 8.5950 9.7270 2.1820 2.5900 1.4190 19.3200 2.1110
A24NDC7JH9LEM1,3A0EX8ZRN9WV72PVT5FZG3VT5WNBYA,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 0 0 0 1 0 1 0 1 1,506,1 0 1 0 0 0 0 0 1 1,28 82 23 32 82 56 35 20 100 48,2.5906,51.9502,2,6.5312 3.6234 1.3438 0.6477 0.9200 0.7677 0.9838 2.0156 0.6718 0.6477
A1THSBWV04YAIK,32VNZTT0A8C2P2S00VDI0TWQSHR4RV,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 0 0 0 0 0 1 0 0 0,471,1 1 1 1 1 0 1 1 1 1,33 65 68 11 19 14 35 83 50 93,72.6260,28.4260,0,8.8040 8.3700 5.3680 5.9200 5.2320 4.3990 3.8870 3.7360 3.9670 4.9600
AFC9Q2YBBESIP,3BDCF01OGY27KBB7KI4TU6RYHQ1LY7,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 1 1 0 1 0 0 0 1 0,558,1 0 1 1 1 0 1 1 1 0,19 17 39 46 92 53 92 95 95 10,81.0620,41.5600,1,10.7900 10.6860 7.5200 7.1460 6.9440 4.0560 1.3680 2.7280 4.9420 5.6240
A1SFBJ5WW2OZTI,3K3R2QNK8CBV20QTLK4EMCUQL899U0,3421H3BM9APJ10H5JJVYQQQUJDC9JC,0 0 1 0 0 0 1 1 1 0,415,0 0 0 0 1 1 1 1 1 0,47 42 46 24 54 59 11 74 54 4,40.0907,65.5818,0,10.7936 3.4289 4.1539 3.5466 1.6060 3.6009 0.8564 2.3907 1.5407 0.8658
A3AYDZLIK17L9K,3QJOXOW4XKZTKOC1KTTENGE7ZJMMEV,3421H3BM9APJ10H5JJVYQQQUJDC9JC,0 0 0 1 1 0 0 1 1 0,589,1 1 1 1 1 1 1 1 1 1,77 98 23 30 82 73 49 30 85 42,50.0909,87.0692,2,7.7746 4.6155 2.8726 0.9838 0.8319 1.9038 1.2796 0.9598 0.8717 1.5599
A259AXODQQ0WUJ,33NF62TLXKA65GYQDIRP5JZVFMNKJ9,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 1 0 1 1 1 1 0 0 0,643,0 1 1 1 1 0 1 0 0 0,56 98 65 97 48 37 61 93 50 38,95.5794,32.1883,0,16.9033 3.9819 11.5860 4.2738 4.1298 3.1498 2.9678 1.5719 1.9718 6.0399
A2O7LNRIBPIHAF,3X31TUMD7YUAU5048TXKGJGOA5SL19,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 0 0 0 1 0 0 0 0 0,584,0 0 0 1 1 1 1 1 1 1,0 37 23 90 49 89 30 83 96 87,97.9504,86.4668,0,14.8623 3.0796 3.3117 12.6316 7.9917 3.7118 3.9198 6.6315 4.2557 2.5759
A3DK4DDLEWCMM1,3NQL1CS15SGAGGN1YM6ZHFP08O3VY0,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 0 0 1 1 0 0 1 1 1,611,1 0 0 1 1 1 1 1 1 1,67 38 22 66 59 40 90 100 52 77,57.4230,26.0640,0,6.3840 3.9050 3.6810 1.3630 1.0740 0.8060 1.2850 0.8500 2.7840 0.6970
A3HU9JOPC9UK8Q,3RUIQRXJBCWNKC4813F30YP28BYLLG,3421H3BM9APJ10H5JJVYQQQUJDC9JC,1 0 1 0 1 1 0 0 1 1,591,1 0 0 0 0 1 0 0 1 1,1 78 21 70 48 72 100 49 77 75,36.3420,28.9001,0,7.2889 6.0358 2.9739 6.2998 2.4059 4.2459 3.0698 3.4419 2.2659 1.6359
A17OSPGV41FZ7P,3XC1O3LBOTUB3PCDACHUMPZJ2OKLTJ,3421H3BM9APJ10H5JJVYQQQUJDC9JC,0 0 0 0 1 1 1 1 1 1,418,0 1 1 1 1 0 1 1 1 0,22 58 86 61 0 7 69 73 19 23,57.4640,32.3590,1,9.0540 5.2870 3.9450 2.7350 7.8880 1.3200 2.6810 1.9280 1.8640 1.6810
